function_called,exit_layer_number,corruption,severity,prec1,prec5
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,1,41.20799997070313,53.56
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,1,50.77199992919922,67.9899999584961
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,1,54.74799997070313,74.24800001220703
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,1,56.96999991699219,76.58599992675781
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,1,58.55600001220703,77.59999995117188
validate,0,gaussian_blur,1,41.20799997070313,67.17599994873046
validate,1,gaussian_blur,1,51.11599998046875,76.37000000976562
validate,2,gaussian_blur,1,55.679999924316405,80.2279999975586
validate,3,gaussian_blur,1,56.82400001953125,81.0859999169922
validate,4,gaussian_blur,1,58.80600001220703,82.53200001708984
validate_with_bayes_matrix,0,gaussian_blur,1,41.20799997070313,0
validate_with_bayes_matrix,1,gaussian_blur,1,48.63599995361328,0
validate_with_bayes_matrix,2,gaussian_blur,1,53.77999994628906,0
validate_with_bayes_matrix,3,gaussian_blur,1,56.511999965820316,0
validate_with_bayes_matrix,4,gaussian_blur,1,58.14000001220703,0
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,1,41.20799997070313,53.444
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,1,50.70799995361328,67.91999995849609
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,1,54.68599991943359,74.09399993652343
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,1,56.92200001953125,76.46399998046876
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,1,58.561999936523435,77.51999997802734
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,2,25.763999956054686,35.53199997680664
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,2,34.911999985351564,50.133999963378905
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,2,38.75399995971679,57.112000041503904
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,2,40.978000006103514,59.617999982910156
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,2,42.55999995605469,60.666
validate,0,gaussian_blur,2,25.763999956054686,49.688
validate,1,gaussian_blur,2,35.36799995849609,61.104000026855466
validate,2,gaussian_blur,2,39.963999975585935,65.76399993896484
validate,3,gaussian_blur,2,40.9220000012207,66.68599993652344
validate,4,gaussian_blur,2,42.87799999389649,68.46200000732422
validate_with_bayes_matrix,0,gaussian_blur,2,25.763999956054686,0
validate_with_bayes_matrix,1,gaussian_blur,2,32.84400000976562,0
validate_with_bayes_matrix,2,gaussian_blur,2,37.49799996704102,0
validate_with_bayes_matrix,3,gaussian_blur,2,40.40999998168945,0
validate_with_bayes_matrix,4,gaussian_blur,2,42.035999985351566,0
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,2,25.763999956054686,35.46599999023437
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,2,34.73000001220703,50.039999963378904
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,2,38.6599999597168,56.964000017089845
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,2,40.953999965820316,59.43399998291016
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,2,42.47999995605469,60.490000002441406
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,3,15.08799996826172,22.27199997192383
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,3,22.130000002441406,33.85199999267578
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,3,25.264000001220705,40.2039999975586
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,3,26.99999999633789,42.719999958496096
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,3,28.407999993896485,43.727999973144534
validate,0,gaussian_blur,3,15.08799996826172,32.89799999511719
validate,1,gaussian_blur,3,22.48400001586914,44.45199996826172
validate,2,gaussian_blur,3,26.0959999609375,49.28399993164062
validate,3,gaussian_blur,3,27.045999974365234,49.85800000732422
validate,4,gaussian_blur,3,28.44599999145508,51.33799999755859
validate_with_bayes_matrix,0,gaussian_blur,3,15.08799996826172,0
validate_with_bayes_matrix,1,gaussian_blur,3,20.576000013427734,0
validate_with_bayes_matrix,2,gaussian_blur,3,24.16399998779297,0
validate_with_bayes_matrix,3,gaussian_blur,3,26.491999956054688,0
validate_with_bayes_matrix,4,gaussian_blur,3,27.96599998046875,0
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,3,15.08799996826172,22.235999971923828
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,3,22.000000002441407,33.76199999267578
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,3,25.228000014648437,40.10200001098633
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,3,26.947999971923828,42.45200000976563
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,3,28.33200000732422,43.532
validate_with_bayes_matrix_conformal_prediction,0,gaussian_blur,4,9.346000008544921,14.9419999609375
validate_with_bayes_matrix_conformal_prediction,1,gaussian_blur,4,14.05999998046875,23.002000006103515
validate_with_bayes_matrix_conformal_prediction,2,gaussian_blur,4,15.975999992675781,27.621999989013673
validate_with_bayes_matrix_conformal_prediction,3,gaussian_blur,4,17.075999974365235,29.485999963378905
validate_with_bayes_matrix_conformal_prediction,4,gaussian_blur,4,17.81000001220703,30.153999982910157
validate,0,gaussian_blur,4,9.346000008544921,22.155999989013672
validate,1,gaussian_blur,4,14.281999978027343,31.03200001586914
validate,2,gaussian_blur,4,16.40199999267578,34.867999986572265
